applicant_id,employment_type,rent_payment_ratio,utility_payment_ratio,telecom_payment_ratio,telecom_tenure_months,monthly_bank_inflow,monthly_bank_outflow,avg_bank_balance,bounce_count_6m,gig_monthly_earnings,gig_earnings_stability,gig_months_active,gig_rating,income_to_expense_ratio,payment_consistency,data_conflict_count,falsified_record_flag,falsification_type,fraud_risk_score,missing_data_ratio,credit_risk_score,decision
A00014,self_employed,0.778,0.71,0.865,50,61832,43940,17569,1,16662,,44,4.04,1.407,0.784,0,0,none,0.108,0.083,0.224,DECLINE
A00015,gig,0.638,0.737,0.884,28,32121,23562,9084,0,,0.631,49,4.27,1.363,0.753,0,0,none,0.094,0.083,0.174,REFER
A00016,gig,0.807,1.0,0.901,57,31549,20082,9655,0,28547,0.764,,4.8,1.571,0.903,0,0,none,0.0,0.083,0.094,APPROVE
A00017,salaried,0.76,0.854,0.898,31,34337,16504,12363,3,1039,0.578,0,,2.081,0.837,2,0,none,0.121,0.083,0.185,REFER
A00018,salaried,,0.902,1.0,47,38798,14908,15099,0,493,0.99,0,,2.602,0.951,0,0,none,0.1,0.167,0.066,APPROVE
A00019,self_employed,0.899,0.869,0.822,54,33974,19078,9215,0,,0.632,33,4.26,1.781,0.863,0,0,none,0.174,0.083,0.122,APPROVE
A00020,gig,0.965,0.79,0.826,67,27085,17146,5524,2,22435,0.497,18,4.35,1.58,0.86,0,1,fabricated_rent_history,0.644,0.0,0.203,REFER
A00021,gig,0.991,0.991,0.944,55,11427,5839,3229,0,11017,0.912,43,4.75,1.957,0.976,0,0,none,0.056,0.0,0.078,APPROVE
A00022,self_employed,0.915,,0.827,23,22960,17928,6728,1,0,0.484,0,,1.281,0.871,0,0,none,0.085,0.167,0.192,REFER
A00023,gig,0.74,0.876,,44,18575,13247,7353,,16650,0.702,68,4.44,1.402,0.808,0,0,none,0.13,0.167,0.233,DECLINE
A00024,self_employed,0.817,0.893,0.834,27,12573,8418,5943,,315,0.591,0,,1.493,0.848,0,0,none,0.085,0.167,0.183,REFER
A00025,self_employed,0.844,,0.8,42,14364,9385,8755,2,4300,0.478,17,4.29,1.53,0.822,0,0,none,0.133,0.083,0.191,REFER
A00026,salaried,0.666,0.805,0.764,23,68582,51786,17865,1,12275,0.553,17,4.31,1.324,0.745,0,0,none,0.093,0.0,0.209,REFER
A00027,self_employed,0.836,0.838,0.844,70,43255,38555,13408,0,6048,0.745,25,4.61,1.122,0.839,0,0,none,0.088,0.0,0.098,APPROVE
A00028,gig,0.801,0.821,0.895,41,64880,40709,21138,2,57898,0.89,54,4.31,1.594,0.839,0,0,none,0.135,0.0,0.098,APPROVE
A00029,gig,0.988,,0.961,55,41770,27661,17085,1,26722,0.879,38,4.62,1.51,0.974,0,0,none,0.07,0.083,0.088,APPROVE
A00030,self_employed,0.919,0.863,0.954,37,37070,25089,11132,0,7064,0.856,35,4.48,1.478,0.912,0,0,none,0.093,0.0,0.056,APPROVE
A00031,self_employed,0.825,0.951,,52,26080,18596,10475,1,5684,0.638,30,4.55,1.402,0.888,0,0,none,0.04,0.083,0.115,APPROVE
A00032,self_employed,0.886,0.838,0.992,23,59656,32720,23365,1,2503,0.921,28,4.9,1.823,0.905,0,0,none,0.103,0.0,0.109,APPROVE
A00033,gig,0.828,0.789,0.897,61,39547,34025,11706,1,37915,0.99,73,4.72,1.162,0.838,2,0,none,0.083,0.0,0.112,APPROVE
A00034,self_employed,0.906,,0.979,52,67196,,28340,,9928,0.784,31,4.65,,0.942,0,0,none,0.106,0.25,0.088,APPROVE
A00035,self_employed,0.93,0.808,0.922,33,31936,22409,7326,0,7233,0.73,40,4.51,1.425,0.886,0,0,none,0.097,0.0,0.106,APPROVE
A00036,gig,0.84,0.969,0.95,17,29541,19397,11956,2,22686,0.896,36,4.44,1.523,0.92,0,0,none,0.107,0.0,0.137,APPROVE
A00037,salaried,0.899,0.749,0.857,23,43978,38115,13283,0,1759,0.685,0,,1.154,0.835,0,0,none,0.111,0.083,0.119,APPROVE
A00038,gig,0.742,0.775,0.894,24,14276,8765,3728,0,17996,0.777,,4.26,1.629,0.804,0,0,none,0.058,0.083,0.194,REFER
A00039,self_employed,0.876,0.846,0.959,42,34900,17346,14474,1,8104,0.693,44,4.76,2.012,0.894,1,0,none,0.108,0.0,0.126,APPROVE
A00040,salaried,0.949,0.954,0.937,46,31941,17076,12066,1,2328,0.626,45,,1.87,0.947,0,0,none,0.073,0.083,0.076,APPROVE
A00041,gig,0.706,0.759,0.859,79,23142,16420,6003,1,17693,0.734,18,3.98,1.409,0.774,0,0,none,0.105,0.0,0.184,REFER
A00042,self_employed,0.789,0.821,0.787,53,62549,37127,,1,1848,0.662,0,,1.685,0.799,0,0,none,0.108,0.167,0.257,DECLINE
A00043,self_employed,0.492,0.612,0.63,20,40683,24796,3054,0,2269,0.482,12,,1.641,0.578,0,0,none,0.135,0.083,0.34,DECLINE
A00044,self_employed,0.657,0.912,0.771,62,42539,28935,8099,1,965,0.612,,,1.47,0.78,0,0,none,0.07,0.167,0.156,APPROVE
A00045,gig,0.738,0.991,0.9,41,14236,8394,2459,1,10884,0.77,49,4.42,1.696,0.876,0,0,none,0.136,0.0,0.169,REFER
A00046,self_employed,0.883,0.772,0.872,36,48251,24846,17164,0,9227,0.686,18,4.65,1.942,0.843,0,0,none,0.073,0.0,0.083,APPROVE
A00047,self_employed,0.873,0.866,1.0,,49032,24882,19833,1,7440,0.684,18,4.68,1.971,0.913,0,0,none,0.1,0.083,0.079,APPROVE
A00048,self_employed,0.682,0.634,,88,26213,23958,2002,4,5655,0.494,15,3.93,1.094,0.658,0,0,none,0.173,0.083,0.322,DECLINE
A00049,gig,0.88,0.846,0.88,32,36658,21522,17290,1,29059,0.677,34,4.4,1.703,0.869,0,0,none,0.044,0.0,0.091,APPROVE
A00050,gig,0.826,0.781,0.845,35,53372,18680,11729,0,42676,0.755,28,,2.857,0.817,0,0,none,0.107,0.083,0.177,REFER
A00051,gig,0.749,0.84,0.802,64,23450,15511,4849,1,22595,0.812,38,4.2,1.512,0.797,0,0,none,0.057,0.0,0.227,DECLINE
A00052,salaried,0.852,0.744,0.883,56,22477,17443,6692,0,4506,0.615,27,4.37,1.289,0.827,0,0,none,0.015,0.0,0.157,APPROVE
A00053,self_employed,1.0,0.893,0.941,22,44686,20830,13410,0,,0.798,48,5.0,2.145,0.944,0,0,none,0.101,0.083,0.073,APPROVE
A00054,self_employed,0.92,0.935,0.913,77,35319,15869,15768,2,5191,0.744,25,4.53,2.226,0.922,0,0,none,0.061,0.0,0.09,APPROVE
A00055,salaried,0.963,0.896,0.869,47,70357,49924,22185,2,3439,0.673,50,4.24,1.409,0.909,0,0,none,0.077,0.0,0.093,APPROVE
A00056,self_employed,0.676,0.629,0.709,69,44701,33469,10463,5,11623,0.282,15,4.02,1.336,0.671,0,0,none,0.163,0.0,0.283,DECLINE
A00057,salaried,0.931,0.901,0.94,52,83621,57218,30477,0,14909,0.713,41,4.67,1.461,0.924,0,0,none,0.087,0.0,0.099,APPROVE
A00058,gig,0.834,0.88,0.824,42,28973,21469,8501,2,20900,,25,4.26,1.35,0.846,0,0,none,0.056,0.083,0.109,APPROVE
A00059,gig,0.872,,0.905,62,34276,23449,,0,23861,,50,4.54,1.462,0.889,0,0,none,0.103,0.25,0.22,DECLINE
A00060,gig,0.794,0.977,0.886,44,52767,30014,26847,0,,0.802,43,4.61,1.758,0.886,0,0,none,0.066,0.083,0.086,APPROVE
A00061,gig,0.971,0.997,0.994,74,,32608,20805,1,37528,0.866,22,4.65,,0.987,0,0,none,0.044,0.083,0.086,APPROVE
A00062,self_employed,0.776,0.831,,,44504,21301,12861,1,5159,,28,4.21,2.089,0.803,1,0,none,0.149,0.25,0.225,DECLINE
A00063,self_employed,0.827,0.84,0.835,33,23587,15068,8404,1,2365,0.616,27,4.14,1.565,0.834,0,0,none,0.079,0.0,0.164,REFER
A00064,gig,0.907,0.937,0.926,37,18659,10474,6694,0,15635,,64,4.69,1.781,0.924,0,0,none,0.0,0.083,0.105,APPROVE
A00065,gig,0.693,0.822,0.795,29,31823,20139,11099,1,,0.648,20,4.21,1.58,0.77,0,0,none,0.126,0.083,0.165,REFER
A00066,gig,0.811,0.879,0.871,75,59851,37812,19419,1,51168,0.748,,3.91,1.583,0.854,0,0,none,0.125,0.083,0.166,REFER
A00067,gig,0.918,0.973,0.894,54,17679,11791,6013,0,19092,0.886,43,4.47,1.499,0.929,0,1,manipulated_gig_earnings,0.49,0.0,0.145,APPROVE
A00068,gig,0.788,0.836,0.839,33,30553,18817,10633,0,24573,0.734,18,,1.624,0.821,0,0,none,0.145,0.083,0.147,APPROVE
A00069,salaried,0.839,0.836,0.902,68,22071,12495,8574,0,,0.738,29,4.51,1.766,0.859,0,0,none,0.02,0.083,0.083,APPROVE
A00070,gig,0.708,0.617,0.881,38,16302,10355,4946,2,11911,,31,,1.574,0.735,0,0,none,0.114,0.167,0.258,DECLINE
A00071,gig,0.852,0.814,0.941,49,20820,13933,7747,1,16471,0.705,,4.63,1.494,0.869,0,0,none,0.0,0.083,0.135,APPROVE
A00072,gig,0.663,0.731,0.68,41,20259,14087,1802,2,17573,,51,4.11,1.438,0.692,0,0,none,0.144,0.083,0.286,DECLINE
A00073,salaried,0.82,0.823,0.863,38,38995,26721,13849,0,9884,0.64,56,4.37,1.459,0.835,0,0,none,0.033,0.0,0.118,APPROVE
A00074,self_employed,0.773,0.9,0.861,35,88571,59601,27484,0,22609,0.648,18,4.3,1.486,0.845,0,0,none,0.113,0.0,0.112,APPROVE
A00075,gig,0.699,0.808,0.934,23,56840,37821,17263,2,48694,0.679,58,4.35,1.503,0.814,0,0,none,0.069,0.0,0.144,APPROVE
A00076,self_employed,0.852,0.879,0.906,46,38489,27752,16016,1,3762,0.61,33,4.52,1.387,0.879,1,0,none,0.14,0.0,0.08,APPROVE
A00077,gig,0.931,0.88,0.844,58,29743,21657,8842,0,23720,,37,4.66,1.373,0.885,0,0,none,0.105,0.083,0.087,APPROVE
A00078,gig,0.735,0.643,0.749,42,32920,17856,9045,0,29546,0.605,28,3.94,1.844,0.709,0,0,none,0.104,0.0,0.199,REFER
A00079,gig,0.886,1.0,1.0,30,18143,10851,10081,0,,0.99,23,4.93,1.672,0.962,0,0,none,0.043,0.083,0.038,APPROVE
A00080,salaried,,0.881,0.948,48,21176,16792,7019,1,0,0.672,0,,1.261,0.914,0,0,none,0.095,0.167,0.129,APPROVE
A00081,gig,0.864,0.968,,42,16644,6323,6708,0,11676,0.894,27,4.38,2.632,0.916,0,0,none,0.052,0.083,0.08,APPROVE
A00082,salaried,0.908,,0.948,78,44364,21882,16071,1,,0.853,0,,2.027,0.928,0,0,none,0.06,0.25,0.094,APPROVE
A00083,salaried,,0.87,0.807,44,32075,13189,9101,0,3445,0.678,15,4.37,2.432,0.838,0,0,none,0.081,0.083,0.109,APPROVE
A00084,self_employed,0.716,0.841,0.82,36,48250,29563,,0,7456,0.525,15,4.04,1.632,0.792,0,0,none,0.091,0.083,0.242,DECLINE
A00085,gig,0.646,0.719,0.896,13,29998,16168,8061,0,27603,0.626,29,4.54,1.855,0.754,1,0,none,0.208,0.0,0.237,DECLINE
A00086,self_employed,0.934,0.938,0.947,43,34374,25425,,0,2799,0.621,57,4.63,1.352,0.94,0,0,none,0.061,0.083,0.1,APPROVE
A00087,gig,0.7,0.837,,30,29023,21676,5776,3,17782,0.576,25,4.28,1.339,0.769,0,0,none,0.071,0.083,0.238,DECLINE
A00088,self_employed,0.897,0.889,0.971,35,39481,25836,15133,0,1259,0.649,0,,1.528,0.919,0,0,none,0.072,0.083,0.093,APPROVE
A00089,salaried,0.77,0.863,0.917,56,33526,21136,7463,1,3548,0.705,52,4.64,1.586,0.85,0,0,none,0.066,0.0,0.1,APPROVE
A00090,salaried,0.927,0.986,0.917,33,81062,52691,29635,0,11089,0.86,29,4.64,1.538,0.944,0,0,none,0.056,0.0,0.046,APPROVE
A00091,gig,0.834,0.799,0.891,31,20024,17475,,0,17568,0.795,24,4.44,1.146,0.841,0,0,none,0.039,0.083,0.173,REFER
A00092,gig,0.926,,0.907,61,20095,12443,7107,0,,,48,4.5,1.615,0.916,0,0,none,0.096,0.25,0.134,APPROVE
A00093,self_employed,0.934,0.88,0.851,28,38378,19897,11795,1,3046,0.632,52,4.24,1.929,0.888,0,0,none,0.08,0.0,0.091,APPROVE
A00094,self_employed,0.848,0.959,0.868,33,30969,11721,10765,0,8588,0.597,33,,2.642,0.891,0,0,none,0.072,0.083,0.096,APPROVE
A00095,self_employed,0.9,1.0,0.939,50,50478,23788,21325,0,6027,,32,4.99,2.122,0.946,0,0,none,0.13,0.083,0.084,APPROVE
A00096,self_employed,0.905,0.879,0.884,22,45418,20006,13190,2,3578,0.704,26,4.28,2.27,0.889,0,0,none,0.138,0.0,0.038,APPROVE
A00097,gig,0.617,0.58,,83,37683,25016,5600,3,31949,0.395,22,4.25,1.506,0.599,0,0,none,0.176,0.083,0.303,DECLINE
A00098,self_employed,0.771,0.924,0.91,34,24117,18125,8933,2,6484,,22,4.23,1.331,0.868,0,0,none,0.043,0.083,0.115,APPROVE
A00099,gig,0.943,0.915,0.93,58,38977,30743,17543,0,29723,0.898,44,4.47,1.268,0.929,0,0,none,0.135,0.0,0.039,APPROVE
A00100,self_employed,,0.909,0.859,32,22458,11833,6324,2,4331,,45,4.15,1.898,0.884,1,0,none,0.082,0.167,0.176,REFER
A00101,self_employed,0.78,0.862,0.857,25,50388,33619,20149,1,4824,0.668,24,4.67,1.499,0.833,0,0,none,0.032,0.0,0.137,APPROVE
A00102,gig,0.861,0.962,1.0,,19498,13528,9524,1,14148,0.821,65,4.61,1.441,0.941,0,0,none,0.026,0.083,0.056,APPROVE
A00103,gig,,0.769,0.867,,21964,19131,8305,2,22078,0.751,33,4.38,1.148,0.818,0,0,none,0.09,0.167,0.166,REFER
A00104,gig,0.934,0.917,0.911,41,21627,,9863,2,19088,0.878,17,4.65,,0.921,0,0,none,0.082,0.083,0.066,APPROVE
A00105,gig,0.805,0.981,0.92,,42218,20591,14514,0,36344,0.937,22,4.33,2.05,0.902,1,0,none,0.05,0.083,0.092,APPROVE
A00106,gig,1.0,0.936,1.0,59,39356,24412,16844,0,37634,0.822,41,4.44,1.612,0.979,0,0,none,0.0,0.0,0.0,APPROVE
A00107,gig,0.983,0.905,0.921,76,40330,17682,16273,1,36249,0.936,65,4.53,2.281,0.936,0,0,none,0.095,0.0,0.075,APPROVE
A00108,salaried,0.919,0.81,0.893,22,59893,39039,,0,10773,0.595,29,4.41,1.534,0.874,0,0,none,0.091,0.083,0.184,REFER
A00109,self_employed,0.838,0.731,0.706,39,37416,21366,10895,0,2140,0.605,20,,1.751,0.758,0,0,none,0.096,0.083,0.154,APPROVE
A00110,salaried,0.726,0.81,0.758,27,63342,44573,19497,0,15638,0.543,36,4.36,1.421,0.765,0,0,none,0.081,0.0,0.151,APPROVE
A00111,self_employed,0.628,0.724,0.769,44,23047,15403,350,0,4832,0.451,27,4.26,1.496,0.707,4,0,none,0.229,0.0,0.372,DECLINE
A00112,gig,0.815,0.872,0.828,37,70673,57199,19635,0,60049,0.724,13,4.27,1.236,0.838,0,0,none,0.066,0.0,0.093,APPROVE
A00113,self_employed,0.746,0.77,0.796,26,52406,39849,18291,3,12482,0.377,17,,1.315,0.771,1,0,none,0.175,0.083,0.232,DECLINE
A00114,self_employed,,0.899,0.834,31,56526,49466,17884,1,9444,0.657,31,4.33,1.143,0.866,0,0,none,0.028,0.083,0.143,APPROVE
A00115,gig,0.69,0.681,0.763,25,36957,33104,7456,1,30785,0.518,26,4.33,1.116,0.712,0,0,none,0.187,0.0,0.229,DECLINE
A00116,salaried,0.881,0.922,0.978,33,56823,13326,13477,0,4888,0.834,38,4.6,4.264,0.927,0,1,inflated_income,0.519,0.0,0.086,APPROVE
A00117,self_employed,,0.831,0.806,36,16498,,6796,3,5025,0.412,76,3.82,,0.819,0,0,none,0.115,0.167,0.225,DECLINE
A00118,gig,0.85,0.923,0.794,46,16829,12546,2496,0,15730,0.793,20,4.36,1.341,0.856,0,0,none,0.109,0.0,0.142,APPROVE
A00119,gig,0.813,0.908,0.909,,16802,11087,5493,1,14359,0.699,75,4.47,1.515,0.876,0,0,none,0.138,0.083,0.177,REFER
A00120,gig,0.686,0.711,0.717,33,43119,44714,11723,1,28800,0.653,31,3.84,0.964,0.705,0,0,none,0.133,0.0,0.254,DECLINE
A00121,gig,0.835,0.704,0.775,34,92700,69680,25322,3,67893,0.607,28,4.11,1.33,0.771,0,0,none,0.066,0.0,0.189,REFER
A00122,gig,0.813,0.971,0.854,34,15587,7082,7535,1,12064,0.783,18,4.26,2.201,0.88,0,0,none,0.008,0.0,0.097,APPROVE
A00123,salaried,0.601,0.631,0.733,43,54430,48065,13065,0,3669,0.296,18,3.82,1.132,0.655,1,0,none,0.147,0.0,0.324,DECLINE
A00124,salaried,0.768,0.747,0.806,51,20745,13755,7990,0,0,,0,,1.508,0.773,0,1,manipulated_gig_earnings,0.598,0.167,0.169,REFER
A00125,gig,0.769,0.826,0.783,25,33072,22887,9465,,22972,0.678,20,4.44,1.445,0.793,0,0,none,0.116,0.083,0.151,APPROVE
A00126,self_employed,0.65,0.55,0.674,53,19079,10452,368,2,1098,0.265,0,,1.825,0.625,0,0,none,0.195,0.083,0.377,DECLINE
A00127,self_employed,0.807,1.0,0.908,31,70272,28749,24139,1,14898,0.864,61,5.0,2.444,0.905,0,0,none,0.0,0.0,0.078,APPROVE
A00128,gig,0.964,0.888,0.96,67,23135,17278,5686,1,17864,0.959,23,4.76,1.339,0.938,0,0,none,0.0,0.0,0.076,APPROVE
A00129,gig,0.588,0.742,0.668,48,18007,12216,4576,1,13741,,35,4.22,1.474,0.666,0,0,none,0.168,0.083,0.295,DECLINE
A00130,salaried,0.947,0.989,0.888,66,28484,12591,10820,1,5371,0.746,18,4.58,2.262,0.942,0,0,none,0.084,0.0,0.069,APPROVE
A00131,gig,0.713,0.768,0.909,53,51211,35357,18187,0,31494,,39,4.42,1.448,0.797,0,0,none,0.06,0.083,0.199,REFER
A00132,gig,0.872,0.848,0.87,51,28817,14228,7506,0,18046,0.946,50,4.3,2.025,0.863,0,0,none,0.124,0.0,0.097,APPROVE
A00133,gig,0.86,0.823,0.894,28,51026,35007,18112,0,35369,0.924,21,4.49,1.458,0.859,0,0,none,0.043,0.0,0.165,REFER
A00134,gig,0.926,1.0,0.872,37,25339,16403,12084,0,22744,0.769,32,4.93,1.545,0.933,0,0,none,0.01,0.0,0.057,APPROVE
A00135,gig,0.616,0.839,0.771,43,24874,20579,7993,4,21095,0.513,17,4.12,1.209,0.742,0,0,none,0.143,0.0,0.236,DECLINE
A00136,gig,0.639,0.886,0.738,64,35977,28691,12696,1,30897,0.76,20,3.88,1.254,0.754,0,0,none,0.157,0.0,0.137,APPROVE
A00137,salaried,0.694,0.845,0.801,25,36038,25992,5645,1,7004,0.649,32,3.87,1.387,0.78,0,0,none,0.092,0.0,0.214,DECLINE
A00138,gig,0.782,0.907,0.901,41,28321,20148,9650,1,22246,0.696,21,4.52,1.406,0.864,0,0,none,0.095,0.0,0.094,APPROVE
A00139,gig,0.788,0.838,0.833,51,37964,29966,12084,1,24488,0.75,38,4.04,1.267,0.82,0,0,none,0.141,0.0,0.166,REFER
A00140,self_employed,0.688,0.719,0.754,25,26837,19639,6802,,3835,0.366,11,4.13,1.367,0.72,0,0,none,0.145,0.083,0.257,DECLINE
A00141,self_employed,,0.789,0.967,47,57231,27029,25217,1,11436,0.608,23,4.17,2.117,0.878,0,0,none,0.056,0.083,0.123,APPROVE
A00142,salaried,1.0,0.96,0.968,32,60399,35994,22418,1,10689,0.672,18,4.88,1.678,0.976,0,0,none,0.013,0.0,0.065,APPROVE
A00143,gig,0.712,0.807,0.85,52,,15912,11030,1,,,22,4.34,,0.79,0,0,none,0.117,0.25,0.183,REFER
A00144,salaried,0.838,0.827,0.862,62,58568,48258,19558,2,13414,0.709,39,4.37,1.214,0.842,0,0,none,0.118,0.0,0.144,APPROVE
A00145,gig,0.8,0.757,0.76,30,44877,32980,12711,3,40516,0.712,55,,1.361,0.772,0,0,none,0.142,0.083,0.214,DECLINE
A00146,salaried,1.0,0.984,1.0,28,52277,27219,18995,0,6699,0.76,41,,1.921,0.995,0,0,none,0.031,0.083,0.045,APPROVE
A00147,salaried,0.832,0.956,0.865,46,47154,34538,18858,0,6747,0.98,43,4.49,1.365,0.884,0,0,none,0.068,0.0,0.067,APPROVE
A00148,gig,0.793,0.823,0.891,58,32032,,12348,1,22496,0.455,41,4.28,,0.836,0,0,none,0.091,0.083,0.203,REFER
A00149,self_employed,0.984,0.959,0.925,30,44202,,16252,2,9457,0.848,33,4.63,,0.956,0,0,none,0.059,0.083,0.115,APPROVE
A00150,gig,0.901,0.869,1.0,35,29807,19026,,0,28072,0.99,27,4.77,1.567,0.924,0,0,none,0.075,0.083,0.137,APPROVE
A00151,self_employed,1.0,0.932,1.0,43,25990,18901,9962,0,0,0.727,0,,1.375,0.977,1,0,none,0.099,0.083,0.094,APPROVE
A00152,self_employed,0.934,0.915,0.87,66,19230,7674,3413,1,2163,0.616,,4.44,2.506,0.906,0,0,none,0.069,0.083,0.117,APPROVE
A00153,gig,0.769,0.581,0.673,41,69121,38510,13668,4,54086,0.558,23,4.09,1.795,0.674,2,0,none,0.282,0.0,0.311,DECLINE
A00154,salaried,1.0,0.952,0.979,63,17028,5960,9971,0,,0.891,,,2.857,0.977,0,0,none,0.044,0.25,0.051,APPROVE
A00155,self_employed,0.784,0.843,0.808,46,54324,31088,17268,2,,0.598,28,4.4,1.747,0.812,1,0,none,0.125,0.083,0.177,REFER
A00156,gig,0.653,0.729,0.722,73,18688,17344,3458,2,12605,0.605,26,3.97,1.078,0.701,0,0,none,0.116,0.0,0.32,DECLINE
A00157,gig,0.856,0.881,0.845,32,52504,35827,15548,1,39580,0.764,18,4.32,1.465,0.861,0,0,none,0.156,0.0,0.114,APPROVE
A00158,salaried,0.482,0.674,0.752,51,20476,11726,0,1,4642,,31,,1.746,0.636,0,1,manipulated_gig_earnings,0.641,0.167,0.356,DECLINE
A00159,self_employed,,0.754,0.788,71,25956,19664,8647,1,5340,0.651,31,3.92,1.32,0.771,0,0,none,0.104,0.083,0.193,REFER
A00160,self_employed,0.878,,0.877,31,29635,22285,10415,3,,0.693,58,4.91,1.33,0.877,0,0,none,0.048,0.167,0.156,APPROVE
A00161,gig,0.871,0.751,0.807,47,20639,15358,6589,1,20199,0.699,49,4.25,1.344,0.809,0,0,none,0.038,0.0,0.142,APPROVE
A00162,gig,0.876,0.861,0.864,23,34357,19287,14287,3,27844,0.817,42,4.19,1.781,0.867,0,0,none,0.104,0.0,0.086,APPROVE
A00163,self_employed,0.81,0.884,0.975,35,45311,16305,6507,0,,0.804,79,4.45,2.779,0.89,0,1,inflated_income,0.553,0.083,0.168,REFER
A00164,gig,0.813,0.885,0.974,41,72372,52757,26632,1,57739,0.816,20,4.72,1.372,0.891,0,0,none,0.012,0.0,0.133,APPROVE
A00165,salaried,0.886,0.827,0.829,20,31685,18156,,3,3518,0.697,33,4.18,1.745,0.848,0,0,none,0.083,0.083,0.213,REFER
A00166,salaried,0.775,0.819,0.844,47,41723,28305,9640,2,1490,0.537,0,,1.474,0.813,0,0,none,0.022,0.083,0.164,REFER
A00167,gig,0.931,0.793,0.848,40,20318,14277,5520,0,16333,0.702,20,3.82,1.423,0.857,0,0,none,0.099,0.0,0.15,APPROVE
A00168,self_employed,0.881,0.794,0.895,22,49762,34011,14518,0,9316,0.672,,4.65,1.463,0.857,0,0,none,0.099,0.083,0.089,APPROVE
A00169,gig,0.798,0.759,0.825,26,31376,18064,8958,1,29286,0.747,23,3.87,1.737,0.794,0,0,none,0.1,0.0,0.159,APPROVE
A00170,gig,0.895,0.912,0.963,70,41953,37541,14230,1,,0.901,50,4.66,1.118,0.923,0,0,none,0.009,0.083,0.086,APPROVE
A00171,self_employed,0.925,0.987,0.974,65,,32561,21076,0,496,0.753,0,,,0.962,0,0,none,0.103,0.167,0.074,APPROVE
A00172,self_employed,0.837,0.899,0.965,31,62120,50392,26738,1,14951,,32,4.76,1.233,0.9,0,0,none,0.066,0.083,0.052,APPROVE
A00173,self_employed,0.828,0.867,0.964,39,50627,32978,19138,1,5695,0.703,57,4.33,1.535,0.886,0,0,none,0.092,0.0,0.13,APPROVE
A00174,gig,0.898,0.905,1.0,50,36590,21153,16253,0,,0.99,33,4.73,1.73,0.935,0,0,none,0.094,0.083,0.071,APPROVE
A00175,gig,0.959,0.999,0.97,,45456,17851,12165,0,30601,0.809,29,4.78,2.546,0.976,0,0,none,0.046,0.083,0.053,APPROVE
A00176,self_employed,0.96,1.0,0.962,69,27125,12382,12646,0,680,0.854,0,,2.191,0.974,0,0,none,0.044,0.083,0.023,APPROVE
A00177,salaried,0.923,0.904,0.898,22,34494,16490,8154,1,4324,0.719,27,,2.092,0.908,0,0,none,0.073,0.083,0.079,APPROVE
A00178,gig,0.833,0.897,0.865,25,37287,21113,12841,1,36676,0.738,28,4.48,1.766,0.865,0,0,none,0.084,0.0,0.096,APPROVE
A00179,salaried,0.753,0.757,0.82,43,16742,10232,6028,3,4538,,39,4.02,1.636,0.777,0,0,none,0.145,0.083,0.217,DECLINE
